title,price,shipping,sold_date,img_link
Dragon Ball Z Score CCG Android 16 Hi-tech Wrapper Redemption BGS 8 Mint Card,$19.47,$19.47,"Sold  Nov 28, 2022",https://i.ebayimg.com/thumbs/images/g/jMEAAOSwdjZjaiK3/s-l225.jpg
Super Saiyan Goku Frieza Saga DBZ Score UR 125 PSA 8,$510.00,$510.00,"Sold  Nov 27, 2022",https://i.ebayimg.com/thumbs/images/g/Dm4AAOSwn1JjQzf-/s-l225.jpg
Dragon Ball Z Goku the Invincible SS4 Flat Foil LIMITED ULTRA RARE DBZ BGS 8.5,$506.14,$506.14,"Sold  Nov 27, 2022",https://i.ebayimg.com/thumbs/images/g/EXUAAOSw1UZjaZ8v/s-l225.jpg
Majin Vegeta the Malevolent PSA 8 Babidi Saga Foil 123 UR Score DBZ Dragon Ball,$400.00,$400.00,"Sold  Nov 26, 2022",https://i.ebayimg.com/thumbs/images/g/d74AAOSw~rJjQzd8/s-l225.jpg
2001 Score Dragon Ball Z Vegeta Saiyan Style Mastery #148 Foil PSA 9 RARE!,$66.00,$66.00,"Sold  Nov 21, 2022",https://i.ebayimg.com/thumbs/images/g/jP0AAOSwOUxjVEOn/s-l225.jpg
Dragon Ball Z CCG - Frieza Saga - Vegeta On Namek  Lvl 4 - #89 - Foil - PSA 9,$120.00,$120.00,"Sold  Nov 21, 2022",https://i.ebayimg.com/thumbs/images/g/vlsAAOSwsJJjX9lN/s-l225.jpg
"Dragon Ball Z DBZ CCG Ultra Rare #152 Goku, Super Saiyan 3 Limited PSA 8 NM-MT!","$1,525.00","$1,525.00","Sold  Nov 20, 2022",https://i.ebayimg.com/thumbs/images/g/vEUAAOSw7V1jYdGc/s-l225.jpg
Dragon Ball Z Dbz Score CCG Android 16 Hi-tech Cell Saga BGS 8 Mint Card #198,$20.14,$20.14,"Sold  Nov 20, 2022",https://i.ebayimg.com/thumbs/images/g/NqMAAOSw4KdjaiMQ/s-l225.jpg
2001 Dragon Ball Z Score Tien The Watcher Rare Full foil Android Saga PSA 9,$13.76,$13.76,"Sold  Nov 19, 2022",https://i.ebayimg.com/thumbs/images/g/-hIAAOSw3Q1jcG1z/s-l225.jpg
DBZ CCG DRAGON BALL Z RED STYLE MASTERY #144 RARE FOIL BGS 8.5 NM-MT+ SCORE 2001,$299.99,$299.99,"Sold  Nov 14, 2022",https://i.ebayimg.com/thumbs/images/g/k0MAAOSwYiljRQXh/s-l225.jpg
Dragon Ball Z CCG SCORE ANDROID SAGA P1 PROMO The Eyes Have It,$10.00,$10.00,"Sold  Nov 13, 2022",https://i.ebayimg.com/thumbs/images/g/8zMAAOSwCQpjcXxs/s-l225.jpg
